127.0.0.1 - - [02/Jul/2022:16:23:28 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:23:29 +0700] "GET /su22b1_it16304_sof3021/WEB-INF/classes/su22b1_it16304_sof3021/controllers/admin/AccountController.java HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:23:30 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:23:36 +0700] "GET /su22b1_it16304_sof3021/home HTTP/1.1" 200 24335
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:23:36 +0700] "GET /su22b1_it16304_sof3021/images/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:23:36 +0700] "GET /su22b1_it16304_sof3021/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:23:36 +0700] "GET /su22b1_it16304_sof3021/images/Banner-hocnhunggidoanhnghiepcan.jpg HTTP/1.1" 200 93687
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:23:36 +0700] "GET /su22b1_it16304_sof3021/images/Banner-LP-Tuyen-sinh-7-2016-1.jpg HTTP/1.1" 200 92541
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:23:36 +0700] "GET /su22b1_it16304_sof3021/images/Banner-web-Chuyen-truong-Chuyen-hoc-phi-11.jpg HTTP/1.1" 200 90544
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:23:36 +0700] "GET /su22b1_it16304_sof3021/images/FPTPolytechnic_vitrinaochosinhvienlaptrinhweb_0.jpg HTTP/1.1" 200 55745
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:23:36 +0700] "GET /su22b1_it16304_sof3021/images/img.jfif HTTP/1.1" 200 88961
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:23:36 +0700] "GET /su22b1_it16304_sof3021/images/Mobile-Application-Development-%E2%80%93-Offering-Great-Prospects-Blog-Featured-Image-500x295.jpg HTTP/1.1" 200 21101
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:23:36 +0700] "GET /su22b1_it16304_sof3021/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2022:16:23:36 +0700] "GET /su22b1_it16304_sof3021/js/jquery.min.js HTTP/1.1" 404 139
